rule_name,description,benchmark,gpt_answer,gpt_configuration,valid_config,module_tp,module_fp,module_fn,option_name_tp,option_name_fp,option_name_fn,option_value_tp,option_value_fp,option_value_fn
4.5.1 Where to break,"The prime directive of line-wrapping is: prefer to break at a higher syntactic level . Also:
 When a line is broken at a non-assignment operator the break comes before the symbol. (Note that this is not the same practice used in Google style for other languages, such as C++ and JavaScript.) 
 This also applies to the following ""operator-like"" symbols: 
 the dot separator ( `.` ) 
 the two colons of a method reference ( `::` ) 
 an ampersand in a type bound ( `<TextendsFoo&Bar>` ) 
 a pipe in a catch block ( `catch(FooException|BarExceptione)` ). 
 When a line is broken at an assignment operator the break typically comes after the symbol, but either way is acceptable. 
 This also applies to the ""assignment-operator-like"" colon in an enhanced `for` (""foreach"") statement. 
 A method or constructor name stays attached to the open parenthesis ( `(` ) that follows it. 
 A comma ( `,` ) stays attached to the token that precedes it. 
 A line is never broken adjacent to the arrow in a lambda, except that a break may come immediately after the arrow if the body of the lambda consists of a single unbraced expression. Examples:
 MyLambda<String, Long, Object> lambda =
  (String label, Long value, Object obj) -> {
  ...
  };
 

 Predicate<String> predicate = str ->
  longExpressionInvolving(str);
 

 Note: The primary goal for line wrapping is to have clear code, not necessarily code that fits in the smallest number of lines.","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""OperatorWrap"">
                        <property name=""option"" value=""NL""/>
                        <property name=""tokens"" value=""QUESTION, EQUAL, NOT_EQUAL, DIV, PLUS, MINUS, STAR, MOD, SR, BSR, GE, GT, SL, LE, LT, BXOR ,BOR ,LOR ,BAND ,LAND ,LITERAL_INSTANCEOF ,TYPE_EXTENSION_AND, METHOD_REF ""/>
                </module>
                <module name=""SeparatorWrap"">
                        <property name=""id"" value=""SeparatorWrapNL""/>
                        <property name=""tokens"" value=""DOT, METHOD_REF""/>
                        <property name=""option"" value=""nl""/>
                </module>
                <module name=""SeparatorWrap"">
                        <property name=""id"" value=""SeparatorWrapEOL""/>
                        <property name=""tokens"" value=""COMMA, LPAREN""/>
                        <property name=""option"" value=""EOL""/>
                </module>
                <module name=""MethodParamPad"">
                        <property name=""allowLineBreaks"" value=""true""/>
                        <property name=""option"" value=""space""/>
                        <property name=""tokens"" value=""CTOR_DEF, LITERAL_NEW, METHOD_CALL, METHOD_DEF, SUPER_CTOR_CALL, ENUM_CONSTANT_DEF, RECORD_DEF""/>
                </module>
        </module>
</module>
",Yes,"<module name='OperatorWrap'>
        <property name='option' value='NL'/>
        <property name='tokens' value='EQUAL, NOT_EQUAL'/>
    </module>
    
<module name='SeparatorWrap'>
        <property name='id' value='SeparatorWrapNL'/>
        <property name='tokens' value='DOT, METHOD_REF'/>
        <property name='option' value='nl'/>
    </module>
    
<module name='SeparatorWrap'>
        <property name='id' value='SeparatorWrapEOL'/>
        <property name='tokens' value='COMMA, LPAREN'/>
        <property name='option' value='EOL'/>
    </module>
    
<module name='MethodParamPad'>
        <property name='allowLineBreaks' value='true'/>
        <property name='option' value='space'/>
        <property name='tokens' value='CTOR_DEF'/>
    </module>",true,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",,,"SeparatorWrap
SeparatorWrap","OperatorWrap
MethodParamPad","OperatorWrap
MethodParamPad"
4.5.2 Indent continuation lines at least +4 spaces,"When line-wrapping, each line after the first (each continuation line ) is indented at least +4 from the original line.
 When there are multiple continuation lines, indentation may be varied beyond +4 as desired. In general, two continuation lines use the same indentation level if and only if they begin with syntactically parallel elements.
 Section 4.6.3 on Horizontal alignment addresses the discouraged practice of using a variable number of spaces to align certain tokens with previous lines.","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""Indentation"">
                        <property name=""lineWrappingIndentation"" value=""4""/>
                        <property name=""forceStrictCondition"" value=""false""/>
                        <property name=""throwsIndent"" value=""4""/>
                </module>
        </module>
</module>",Yes,"<module name='Indentation'>
        <property name='lineWrappingIndentation' value='4'/>
    </module>",true,Indentation,,,,Indentation,Indentation,,Indentation,Indentation
4.6.1 Vertical Whitespace,"A single blank line always appears:
 Between consecutive members or initializers of a class: fields, constructors, methods, nested classes, static initializers, and instance initializers. 
 Exception: A blank line between two consecutive fields (having no other code between them) is optional. Such blank lines are used as needed to create logical groupings of fields. 
 Exception: Blank lines between enum constants are covered in Section 4.8.1 . 
 As required by other sections of this document (such as Section 3, Source file structure , and Section 3.3, Import statements ).
 A single blank line may also appear anywhere it improves readability, for example between statements to organize the code into logical subsections. A blank line before the first member or initializer, or after the last member or initializer of the class, is neither encouraged nor discouraged.
 Multiple consecutive blank lines are permitted, but never required (or encouraged).","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""EmptyLineSeparator"">
                        <property name=""tokens"" value=""CLASS_DEF, STATIC_INIT, INSTANCE_INIT, METHOD_DEF, CTOR_DEF, COMPACT_CTOR_DEF""/>
                        <property name=""allowNoEmptyLineBetweenFields"" value=""true""/>
                </module>
        </module>
</module>",Yes,"<module name='EmptyLineSeparator'>
        <property name='allowMultipleEmptyLines' value='true'/>
        <property name='tokens' value='PACKAGE_DEF, IMPORT, VARIABLE_DEF, CTOR_DEF, METHOD_DEF, CLASS_DEF, STATIC_INIT, INSTANCE_INIT'/>
    </module>
    
<module name='EmptyBlock'>
        <property name='option' value='TEXT'/>
        <property name='tokens' value='LITERAL_TRY, LITERAL_CATCH, LITERAL_FINALLY, LITERAL_IF, LITERAL_ELSE, LITERAL_SWITCH, LITERAL_WHILE, LITERAL_DO, LITERAL_FOR'/>
    </module>",true,EmptyLineSeparator,EmptyBlock,,,"EmptyLineSeparator
EmptyBlock",EmptyLineSeparator,,"EmptyLineSeparator
EmptyBlock",EmptyLineSeparator
4.6.2 Horizontal whitespace,"Beyond where required by the language or other style rules, and apart from literals, comments and Javadoc, a single ASCII space also appears in the following places only .
 Separating any reserved word, such as `if` , `for` or `catch` , from an open parenthesis ( `(` ) that follows it on that line 
 Separating any reserved word, such as `else` or `catch` , from a closing curly brace ( `}` ) that precedes it on that line 
 Before any open curly brace ( `{` ), with two exceptions: 
 `@SomeAnnotation({a,b})` (no space is used) 
 `String[][]x={{""foo""}};` (no space is required between `{{` , by item 9 below) 
 On both sides of any binary or ternary operator. This also applies to the following ""operator-like"" symbols: 
 the ampersand in a conjunctive type bound: `<TextendsFoo&Bar>` 
 the pipe for a catch block that handles multiple exceptions: `catch(FooException|BarExceptione)` 
 the colon ( `:` ) in an enhanced `for` (""foreach"") statement 
 the arrow in a lambda expression: `(Stringstr)->str.length()` 
 but not 
 the two colons ( `::` ) of a method reference, which is written like `Object::toString` 
 the dot separator ( `.` ), which is written like `object.toString()` 
 After `,:;` or the closing parenthesis ( `)` ) of a cast 
 Between any content and a double slash ( `//` ) which begins a comment. Multiple spaces are allowed. 
 Between a double slash ( `//` ) which begins a comment and the comment's text. Multiple spaces are allowed. 
 Between the type and variable of a declaration: `List<String>list` 
 Optional just inside both braces of an array initializer 
 `newint[]{5,6}` and `newint[]{5,6}` are both valid 
 Between a type annotation and `[]` or `...` .
 This rule is never interpreted as requiring or forbidding additional space at the start or end of a line; it addresses only interior space.","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""WhitespaceAround"">
      <property name=""allowEmptyConstructors"" value=""true""/>
      <property name=""allowEmptyLambdas"" value=""true""/>
      <property name=""allowEmptyMethods"" value=""true""/>
      <property name=""allowEmptyTypes"" value=""true""/>
      <property name=""allowEmptyLoops"" value=""true""/>
                        <property name=""ignoreEnhancedForColon"" value=""false""/>
                        <property name=""tokens"" value="" ASSIGN, BAND, BAND_ASSIGN, BOR, BOR_ASSIGN, BSR, BSR_ASSIGN, BXOR, BXOR_ASSIGN, COLON, DIV, DIV_ASSIGN, DO_WHILE, EQUAL, GE, GT, LAMBDA, LAND, LCURLY, LE, LITERAL_CATCH, LITERAL_DO, LITERAL_ELSE, LITERAL_FINALLY, LITERAL_FOR, LITERAL_IF, LITERAL_RETURN, LITERAL_SWITCH, LITERAL_SYNCHRONIZED, LITERAL_TRY, LITERAL_WHILE, LOR, LT, MINUS, MINUS_ASSIGN, MOD, MOD_ASSIGN, NOT_EQUAL, PLUS, PLUS_ASSIGN, QUESTION, RCURLY, SL, SLIST, SL_ASSIGN, SR, SR_ASSIGN, STAR, STAR_ASSIGN, LITERAL_ASSERT, TYPE_EXTENSION_AND""/>
                </module>
                <module name=""ParenPad"">
                        <property name=""tokens"" value=""ANNOTATION, ANNOTATION_FIELD_DEF, CTOR_CALL, CTOR_DEF, DOT, ENUM_CONSTANT_DEF, EXPR, LITERAL_CATCH, LITERAL_DO, LITERAL_FOR, LITERAL_IF, LITERAL_NEW, LITERAL_SWITCH, LITERAL_SYNCHRONIZED, LITERAL_WHILE, METHOD_CALL, METHOD_DEF, QUESTION, RESOURCE_SPECIFICATION, SUPER_CTOR_CALL, LAMBDA, RECORD_DEF""/>
                </module>
                <module name=""WhitespaceAfter"">
                        <property name=""tokens"" value=""COMMA, SEMI, TYPECAST, LITERAL_IF, LITERAL_ELSE, LITERAL_RETURN, LITERAL_WHILE, LITERAL_DO, LITERAL_FOR, LITERAL_FINALLY, DO_WHILE, ELLIPSIS, LITERAL_SWITCH, LITERAL_SYNCHRONIZED, LITERAL_TRY, LITERAL_CATCH, LAMBDA, LITERAL_YIELD, LITERAL_CASE""/>
                </module>
                <module name=""NoWhitespaceBefore"">
                        <property name=""tokens"" value=""COMMA, SEMI, POST_INC, POST_DEC, DOT, LABELED_STAT, METHOD_REF""/>
                        <property name=""allowLineBreaks"" value=""true""/>
                </module>
                <module name=""NoWhitespaceBeforeCaseDefaultColon""/>
        </module>
</module>",Yes,"<module name='WhitespaceAround'>
        <property name='allowEmptyCatches' value='true'/>
        <property name='allowEmptyConstructors' value='true'/>
        <property name='allowEmptyLambdas' value='true'/>
        <property name='allowEmptyLoops' value='true'/>
        <property name='allowEmptyMethods' value='true'/>
        <property name='allowEmptyTypes' value='true'/>
        <property name='ignoreEnhancedForColon' value='true'/>
        <property name='tokens' value='LITERAL_ASSERT, LITERAL_CATCH, LITERAL_DO, LITERAL_ELSE, LITERAL_FINALLY, LITERAL_FOR, LITERAL_IF, LITERAL_RETURN, LITERAL_SYNCHRONIZED, LITERAL_TRY, LITERAL_WHILE'/>
    </module>",true,WhitespaceAround,,"ParenPad
WhitespaceAfter
NoWhitespaceBefore
NoWhitespaceBeforeCaseDefaultColon",,WhitespaceAround,"WhitespaceAround
ParenPad
WhitespaceAfter
NoWhitespaceBefore
NoWhitespaceBeforeCaseDefaultColon",,WhitespaceAround,"WhitespaceAround
ParenPad
WhitespaceAfter
NoWhitespaceBefore
NoWhitespaceBeforeCaseDefaultColon"
4.6.3 Horizontal alignment: never required,"Terminology Note: 
 Horizontal alignment is the practice of adding a variable number of additional spaces in your code with the goal of making certain tokens appear directly below certain other tokens on previous lines.
 This practice is permitted, but is never required by Google Style. It is not even required to maintain horizontal alignment in places where it was already used.
 Here is an example without alignment, then using alignment:
 private int x; // this is fine
 private Color color; // this too
 

 private int  x; // permitted, but future edits
 private Color color; // may leave it unaligned
 

 Tip: Alignment can aid readability, but it creates problems for future maintenance. Consider a future change that needs to touch just one line. This change may leave the formerly-pleasing formatting mangled, and that is allowed . More often it prompts the coder (perhaps you) to adjust whitespace on nearby lines as well, possibly triggering a cascading series of reformattings. That one-line change now has a ""blast radius."" This can at worst result in pointless busywork, but at best it still corrupts version history information, slows down reviewers and exacerbates merge conflicts.",,Yes,"<module name='OperatorWrap'>
        <property name='option' value='NL'/>
        <property name='tokens' value='EQUAL, NOT_EQUAL'/>
    </module>
    
<module name='SeparatorWrap'>
        <property name='id' value='SeparatorWrapNL'/>
        <property name='tokens' value='DOT, METHOD_REF'/>
        <property name='option' value='nl'/>
    </module>
    
<module name='SeparatorWrap'>
        <property name='id' value='SeparatorWrapEOL'/>
        <property name='tokens' value='COMMA, LPAREN'/>
        <property name='option' value='EOL'/>
    </module>
    
<module name='MethodParamPad'>
        <property name='allowLineBreaks' value='true'/>
        <property name='option' value='space'/>
        <property name='tokens' value='CTOR_DEF'/>
    </module>",true,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",
4.7 Grouping parentheses: recommended,"Optional grouping parentheses are omitted only when author and reviewer agree that there is no reasonable chance the code will be misinterpreted without them, nor would they have made the code easier to read. It is not reasonable to assume that every reader has the entire Java operator precedence table memorized.",,Yes,"<module name='ParenPad'>
        <property name='option' value='space'/>
        <property name='tokens' value='LPAREN, RPAREN'/>
    </module>
    
<module name='RequireThis'>
        <property name='checkFields' value='true'/>
        <property name='checkMethods' value='true'/>
        <property name='validateOnlyOverlapping' value='true'/>
    </module>",true,,"ParenPad
RequireThis",,,"ParenPad
RequireThis",,,"ParenPad
RequireThis",
4.8.1 Enum classes,"After each comma that follows an enum constant, a line break is optional. Additional blank lines (usually just one) are also allowed. This is one possibility:
 private enum Answer {
  YES {
  @Override public String toString() {
  return ""yes"";
  }
  },
 

  NO,
  MAYBE
 }
 

 An enum class with no methods and no documentation on its constants may optionally be formatted as if it were an array initializer (see Section 4.8.3.1 on array initializers ).
 private enum Suit { CLUBS, HEARTS, SPADES, DIAMONDS }
 

 Since enum classes are classes , all other rules for formatting classes apply.",,Yes,<module name='NoEnumTrailingComma'/>,true,,NoEnumTrailingComma,,,NoEnumTrailingComma,,,NoEnumTrailingComma,
4.8.4 Switch statements,"Terminology Note: Inside the braces of a switch block are one or more statement groups . Each statement group consists of one or more switch labels (either `caseFOO:` or `default:` ), followed by one or more statements (or, for the last statement group, zero or more statements).",,Yes,"<module name='NoWhitespaceBeforeCaseDefaultColon'/>
    
<module name='MissingSwitchDefault'/>",true,,"NoWhitespaceBeforeCaseDefaultColon
MissingSwitchDefault",,,"NoWhitespaceBeforeCaseDefaultColon
MissingSwitchDefault",,,"NoWhitespaceBeforeCaseDefaultColon
MissingSwitchDefault",
4.8.6 Comments,"This section addresses implementation comments . Javadoc is addressed separately in Section 7, Javadoc .
 Any line break may be preceded by arbitrary whitespace followed by an implementation comment. Such a comment renders the line non-blank.",,Yes,"<module name='OperatorWrap'>\n<property name='option' value='force'/>\n<property name='tokens' value='EQUAL, NOT_EQUAL'/>\n</module>\n
<module name='SeparatorWrap'>\n<property name='id' value='SeparatorWrapNL'/>\n<property name='tokens' value='DOT, METHOD_REF'/>\n<property name='option' value='nl'/>\n</module>\n
<module name='SeparatorWrap'>\n<property name='id' value='SeparatorWrapEOL'/>\n<property name='tokens' value='COMMA, LPAREN'/>\n<property name='option' value='EOL'/>\n</module>\n
<module name='MethodParamPad'>\n<property name='allowLineBreaks' value='true'/>\n<property name='option' value='space'/>\n<property name='tokens' value='CTOR_DEF'/>\n</module>",true,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",
4.8.6.1 Block comment style,"lock comments are indented at the same level as the surrounding code. They may be in /* ... */ style or // ... style. For multi-line /* ... */ comments, subsequent lines must start with * aligned with the * on the previous line.

/*
 * This is          // And so           /* Or you can
 * okay.            // is this.          * even do this. */
 */
Comments are not enclosed in boxes drawn with asterisks or other characters.

Tip: When writing multi-line comments, use the /* ... */ style if you want automatic code formatters to re-wrap the lines when necessary (paragraph-style). Most formatters don't re-wrap lines in // ... style comment blocks.","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""CommentsIndentation"">
                        <property name=""tokens"" value=""SINGLE_LINE_COMMENT, BLOCK_COMMENT_BEGIN""/>
                </module>
        </module>
</module>",Yes,"<module name='OperatorWrap'>\n<property name='option' value='NL'/>\n<property name='tokens' value='EQUAL, NOT_EQUAL'/>\n</module>\n
<module name='SeparatorWrap'>\n<property name='id' value='SeparatorWrapNL'/>\n<property name='tokens' value='DOT, METHOD_REF'/>\n<property name='option' value='nl'/>\n</module>\n
<module name='SeparatorWrap'>\n<property name='id' value='SeparatorWrapEOL'/>\n<property name='tokens' value='COMMA, LPAREN'/>\n<property name='option' value='EOL'/>\n</module>\n
<module name='MethodParamPad'>\n<property name='allowLineBreaks' value='true'/>\n<property name='option' value='space'/>\n<property name='tokens' value='CTOR_DEF'/>\n</module>",true,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",CommentsIndentation,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",CommentsIndentation,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",CommentsIndentation
4.8.7 Modifiers,"Class and member modifiers, when present, appear in the order recommended by the Java Language Specification:
 public protected private abstract default static final transient volatile synchronized native strictfp","<module name=""Checker"">
  <module name=""TreeWalker"">
    <module name=""ModifierOrder""/>
  </module>
</module>",Yes,"<module name='ModifierOrder'>
        <property name='id' value='ModifierOrder'/>
    </module>
    
<module name='FinalParameters'>
        <property name='id' value='FinalParameters'/>
    </module>
    
<module name='DeclarationOrder'>
        <property name='id' value='DeclarationOrder'/>
    </module>",true,ModifierOrder,"FinalParameters
DeclarationOrder",,,"ModifierOrder
FinalParameters
DeclarationOrder",ModifierOrder,,"ModifierOrder
FinalParameters
DeclarationOrder",ModifierOrder
4.8.8 Numeric Literals,"`long` -valued integer literals use an uppercase `L` suffix, never lowercase (to avoid confusion with the digit `1` ). For example, `3000000000L` rather than `3000000000l` .","<module name=""Checker"">
  <module name=""TreeWalker"">
    <module name=""UpperEll""/>
  </module>
</module>",Yes,"<module name='UpperEll'>
        <property name='id' value='UpperEll'/>
    </module>",true,UpperEll,,,,UpperEll,UpperEll,,UpperEll,UpperEll
5.1 Rules common to all identifiers,"Identifiers use only ASCII letters and digits, and, in a small number of cases noted below, underscores. Thus each valid identifier name is matched by the regular expression `\w+` .
 In Google Style, special prefixes or suffixes are not used. For example, these names are not Google Style: `name_` , `mName` , `s_name` and `kName` .",,Yes,"<module name='OperatorWrap'>
        <property name='option' value='NL'/>
        <property name='tokens' value='EQUAL, NOT_EQUAL'/>
    </module>
    
<module name='SeparatorWrap'>
        <property name='id' value='SeparatorWrapNL'/>
        <property name='tokens' value='DOT, METHOD_REF'/>
        <property name='option' value='nl'/>
    </module>
    
<module name='SeparatorWrap'>
        <property name='id' value='SeparatorWrapEOL'/>
        <property name='tokens' value='COMMA, LPAREN'/>
        <property name='option' value='EOL'/>
    </module>
    
<module name='MethodParamPad'>
        <property name='allowLineBreaks' value='true'/>
        <property name='option' value='space'/>
        <property name='tokens' value='CTOR_DEF'/>
    </module>",true,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",,,"OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",
5.2.1 Package names,"Package names use only lowercase letters and digits (no underscores). Consecutive words are simply concatenated together. For example, `com.example.deepspace` , not `com.example.deepSpace` or `com.example.deep_space` .","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""PackageName"">
                        <property name=""format"" value=""^[a-z]+(\.[a-z][a-z0-9]*)*$""/>
                        <message key=""name.invalidPattern"" value=""Package name ''{0}'' must match pattern ''{1}''.""/>
                </module>
        </module>
</module>",Yes,"<module name='PackageName'>
        <property name='format' value='^[a-z0-9]+(\\.[a-z0-9]+)*$'/>
    </module>",true,PackageName,,,PackageName,,,,PackageName,PackageName
5.2.2 Class names,"Class names are written in UpperCamelCase .
 Class names are typically nouns or noun phrases. For example, `Character` or `ImmutableList` . Interface names may also be nouns or noun phrases (for example, `List` ), but may sometimes be adjectives or adjective phrases instead (for example, `Readable` ).
 There are no specific rules or even well-established conventions for naming annotation types.
 A test class has a name that ends with `Test` , for example, `HashIntegrationTest` . If it covers a single class, its name is the name of that class plus `Test` , for example `HashImplTest` .","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""TypeName"">
                        <property name=""tokens"" value=""CLASS_DEF, INTERFACE_DEF, ENUM_DEF, ANNOTATION_DEF, RECORD_DEF""/>
                        <property name=""format"" value=""^[A-Z][a-zA-Z0-9]*$""/>
                        <message key=""name.invalidPattern"" value=""Type name ''{0}'' must match pattern ''{1}''.""/>
                </module>
        </module>
</module>",Yes,"<module name='MethodParamPad'>
        <property name='allowLineBreaks' value='true'/>
        <property name='option' value='space'/>
        <property name='tokens' value='CTOR_DEF'/>
    </module>
    
<module name='OperatorWrap'>
        <property name='option' value='NL'/>
        <property name='tokens' value='EQUAL, NOT_EQUAL'/>
    </module>
    
<module name='SeparatorWrap'>
        <property name='id' value='SeparatorWrapNL'/>
        <property name='tokens' value='DOT, METHOD_REF'/>
        <property name='option' value='nl'/>
    </module>
    
<module name='SeparatorWrap'>
        <property name='id' value='SeparatorWrapEOL'/>
        <property name='tokens' value='COMMA, LPAREN'/>
        <property name='option' value='EOL'/>
    </module>",true,,"MethodParamPad
OperatorWrap
SeparatorWrap
SeparatorWrap",TypeName,,"MethodParamPad
OperatorWrap
SeparatorWrap
SeparatorWrap",TypeName,,"MethodParamPad
OperatorWrap
SeparatorWrap
SeparatorWrap",TypeName
5.2.3 Method names,"Method names are written in lowerCamelCase .
 Method names are typically verbs or verb phrases. For example, `sendMessage` or `stop` .
 Underscores may appear in JUnit test method names to separate logical components of the name, with each component written in lowerCamelCase , for example `transferMoney_deductsFromSource` . There is no One Correct Way to name test methods.","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""MethodName"">
                        <property name=""format"" value=""^[a-z][a-z0-9]\w*$""/>
                        <message key=""name.invalidPattern"" value=""Method name ''{0}'' must match pattern ''{1}''.""/>
                </module>
        </module>
</module>",Yes,"<module name='MethodName'>
        <property name='format' value='^[a-z][a-zA-Z0-9]*$'/>
        <property name='applyToPackage' value='true'/>
        <property name='applyToPrivate' value='true'/>
        <property name='applyToProtected' value='true'/>
        <property name='applyToPublic' value='true'/>
    </module>
    
<module name='MethodName'>
        <property name='format' value='^[a-z][a-zA-Z0-9]*$'/>
        <property name='allowClassName' value='true'/>
        <property name='applyToPackage' value='true'/>
        <property name='applyToPrivate' value='true'/>
        <property name='applyToProtected' value='true'/>
        <property name='applyToPublic' value='true'/>
    </module>",true,MethodName,MethodName,,,"MethodName
MethodName",MethodName,,"MethodName
MethodName",MethodName
5.2.4 Constant names,"Constant names use `UPPER_SNAKE_CASE` : all uppercase letters, with each word separated from the next by a single underscore. But what is a constant, exactly?
 Constants are static final fields whose contents are deeply immutable and whose methods have no detectable side effects. Examples include primitives, strings, immutable value classes, and anything set to `null` . If any of the instance's observable state can change, it is not a constant. Merely intending to never mutate the object is not enough. Examples:
 // Constants
 static final int NUMBER = 5;
 static final ImmutableList<String> NAMES = ImmutableList.of(""Ed"", ""Ann"");
 static final Map<String, Integer> AGES = ImmutableMap.of(""Ed"", 35, ""Ann"", 32);
 static final Joiner COMMA_JOINER = Joiner.on(','); // because Joiner is immutable
 static final SomeMutableType[] EMPTY_ARRAY = {};
 

 // Not constants
 static String nonFinal = ""non-final"";
 final String nonStatic = ""non-static"";
 static final Set<String> mutableCollection = new HashSet<String>();
 static final ImmutableSet<SomeMutableType> mutableElements = ImmutableSet.of(mutable);
 static final ImmutableMap<String, SomeMutableType> mutableValues =
  ImmutableMap.of(""Ed"", mutableInstance, ""Ann"", mutableInstance2);
 static final Logger logger = Logger.getLogger(MyClass.getName());
 static final String[] nonEmptyArray = {""these"", ""can"", ""change""};
 

 These names are typically nouns or noun phrases.","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""ConstantName"">
                        <property name=""format"" value=""^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$""/>
                </module>
        </module>
</module>",Yes,"<module name='ConstantName'>
        <property name='applyToPackage' value='true'/>
        <property name='applyToPrivate' value='true'/>
        <property name='applyToProtected' value='true'/>
        <property name='applyToPublic' value='true'/>
        <property name='format' value='^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'/>
    </module>",true,ConstantName,,,,ConstantName,ConstantName,,ConstantName,ConstantName
5.2.5 Non-constant field names,"Non-constant field names (static or otherwise) are written in lowerCamelCase .
 These names are typically nouns or noun phrases. For example, `computedValues` or `index` .","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""MemberName"">
                        <property name=""format"" value=""^[a-z][a-z0-9][a-zA-Z0-9]*$""/>
                        <message key=""name.invalidPattern"" value=""Member name ''{0}'' must match pattern ''{1}''.""/>
                </module>
        </module>
</module>",Yes,"<module name='MethodName'>
        <property name='applyToPackage' value='true'/>
        <property name='applyToPrivate' value='true'/>
        <property name='applyToProtected' value='true'/>
        <property name='applyToPublic' value='true'/>
        <property name='format' value='[a-z][a-zA-Z0-9]*'/>
    </module>
    
<module name='LocalVariableName'>
        <property name='allowOneCharVarInForLoop' value='true'/>
        <property name='format' value='[a-z][a-zA-Z0-9]*'/>
    </module>",true,,"MethodName
LocalVariableName",MemberName,,"MethodName
LocalVariableName",MemberName,,"MethodName
LocalVariableName",MemberName
5.2.6 Parameter names,"Parameter names are written in lowerCamelCase .
 One-character parameter names in public methods should be avoided.","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""ParameterName"">
                        <property name=""format"" value=""^[a-z]([a-z0-9][a-zA-Z0-9]*)?$""/>
                        <message key=""name.invalidPattern"" value=""Parameter name ''{0}'' must match pattern ''{1}''.""/>
                </module>
                <module name=""LambdaParameterName"">
                        <property name=""format"" value=""^[a-z]([a-z0-9][a-zA-Z0-9]*)?$""/>
                        <message key=""name.invalidPattern"" value=""Lambda parameter name ''{0}'' must match pattern ''{1}''.""/>
                </module>
                <module name=""CatchParameterName"">
                        <property name=""format"" value=""^[a-z]([a-z0-9][a-zA-Z0-9]*)?$""/>
                        <message key=""name.invalidPattern"" value=""Catch parameter name ''{0}'' must match pattern ''{1}''.""/>
                </module>
                <module name=""RecordComponentName"">
                        <property name=""format"" value=""^[a-z]([a-z0-9][a-zA-Z0-9]*)?$""/>
                        <message key=""name.invalidPattern"" value=""Record component name ''{0}'' must match pattern ''{1}''.""/>
                </module>
        </module>
</module>",Yes,"<module name='ParameterName'>
        <property name='format' value='^[a-z][a-zA-Z0-9]*$'/>
    </module>",true,ParameterName,,"LambdaParameterName
CatchParameterName
RecordComponentName",ParameterName,,"LambdaParameterName
CatchParameterName
RecordComponentName",,ParameterName,"ParameterName
LambdaParameterName
CatchParameterName
RecordComponentName"
5.2.7 Local variable names,"Local variable names are written in lowerCamelCase .
 Even when final and immutable, local variables are not considered to be constants, and should not be styled as constants.","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""LocalVariableName"">
                        <property name=""format"" value=""^[a-z]([a-z0-9][a-zA-Z0-9]*)?$""/>
                        <message key=""name.invalidPattern"" value=""Local variable name ''{0}'' must match pattern ''{1}''.""/>
                </module>
                <module name=""LocalFinalVariableName"">
                        <property name=""format"" value=""^[a-z]([a-z0-9][a-zA-Z0-9]*)?$""/>
                </module>
                <module name=""PatternVariableName"">
                        <property name=""format"" value=""^[a-z]([a-z0-9][a-zA-Z0-9]*)?$""/>
                        <message key=""name.invalidPattern"" value=""Pattern variable name ''{0}'' must match pattern ''{1}''.""/>
                </module>
        </module>
</module>",Yes,"<module name='LocalVariableName'>
        <property name='format' value='^[a-z][a-zA-Z0-9]*$'/>
    </module>",true,LocalVariableName,,"LocalFinalVariableName
PatternVariableName",LocalVariableName,,"LocalFinalVariableName
PatternVariableName",,LocalVariableName,"LocalVariableName
LocalFinalVariableName
PatternVariableName"
