rule_name,description,benchmark,gpt_answer,gpt_configuration
4.8.1 Enum classes,"After each comma that follows an enum constant, a line break is optional. Additional blank lines (usually just one) are also allowed. This is one possibility:
 private enum Answer {
  YES {
  @Override public String toString() {
  return ""yes"";
  }
  },
 

  NO,
  MAYBE
 }
 

 An enum class with no methods and no documentation on its constants may optionally be formatted as if it were an array initializer (see Section 4.8.3.1 on array initializers ).
 private enum Suit { CLUBS, HEARTS, SPADES, DIAMONDS }
 

 Since enum classes are classes , all other rules for formatting classes apply.",,Yes,"<module name='EnumTrailingComma'>
        <property name='id' value='enumTrailingComma'/>
        <property name='allowTrailingComma' value='true'/>
    </module>
    
<module name='EmptyLineSeparator'>
        <property name='id' value='emptyLineSeparator'/>
        <property name='allowMultipleEmptyLines' value='true'/>
        <property name='tokens' value='ENUM_DEF, ENUM_CONSTANT_DEF'/>
    </module>
    
<module name='ArrayTypeStyle'>
        <property name='id' value='arrayTypeStyle'/>
        <property name='allowArrayInitializerStyle' value='true'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='MethodName'>
        <property name='id' value='methodName'/>
        <property name='format' value='^[a-z][a-zA-Z0-9]*$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>
        <property name='format' value='^[A-Z]$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='id' value='classTypeParameterName'/>"
4.8.4 Switch statements,"Terminology Note: Inside the braces of a switch block are one or more statement groups . Each statement group consists of one or more switch labels (either `caseFOO:` or `default:` ), followed by one or more statements (or, for the last statement group, zero or more statements).",,Yes,"<module name='SwitchStatement'>
        <property name='id' value='switchStatement'/>
        <property name='maxSwitchLabels' value='1'/>
    </module>
    
<module name='FallThrough'>
        <property name='id' value='fallThrough'/>
        <property name='checkLastCaseGroup' value='true'/>
    </module>"
4.8.6 Comments,"This section addresses implementation comments . Javadoc is addressed separately in Section 7, Javadoc .
 Any line break may be preceded by arbitrary whitespace followed by an implementation comment. Such a comment renders the line non-blank.",,Yes,"<module name='RegexpSingleline'>
        <property name='id' value='implementationComment'/>
        <property name='format' value='^\s*//.*$'/>
        <property name='message' value='Implementation comments should be preceded by arbitrary whitespace.'/>
    </module>"
4.8.6.1 Block comment style,"lock comments are indented at the same level as the surrounding code. They may be in /* ... */ style or // ... style. For multi-line /* ... */ comments, subsequent lines must start with * aligned with the * on the previous line.

/*
 * This is          // And so           /* Or you can
 * okay.            // is this.          * even do this. */
 */
Comments are not enclosed in boxes drawn with asterisks or other characters.

Tip: When writing multi-line comments, use the /* ... */ style if you want automatic code formatters to re-wrap the lines when necessary (paragraph-style). Most formatters don't re-wrap lines in // ... style comment blocks.","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""CommentsIndentation"">
                        <property name=""tokens"" value=""SINGLE_LINE_COMMENT, BLOCK_COMMENT_BEGIN""/>
                </module>
        </module>
</module>",Yes,"<module name='CommentsIndentation'>
        <property name='id' value='CommentsIndentation'/>
    </module>
    
<module name='RegexpMultiline'>
        <property name='format' value='^\\s*\\*'/>
        <property name='message' value='Subsequent lines in block comments must start with * aligned with the * on the previous line.'/>
        <property name='ignoreComments' value='false'/>
    </module>
    
<module name='RegexpSingleline'>
        <property name='format' value='^\\s*\\/\\*\\*?[^*]*\\*\\/\\s*$'/>
        <property name='message' value='Block comments should not be enclosed in boxes drawn with asterisks or other characters.'/>
        <property name='ignoreComments' value='false'/>
    </module>"
4.8.7 Modifiers,"Class and member modifiers, when present, appear in the order recommended by the Java Language Specification:
 public protected private abstract default static final transient volatile synchronized native strictfp","<module name=""Checker"">
  <module name=""TreeWalker"">
    <module name=""ModifierOrder""/>
  </module>
</module>",Yes,"<module name='ModifierOrder'>
        <property name='id' value='ModifierOrder'/>
        <property name='order' value='public protected private abstract default static final transient volatile synchronized native strictfp'/>
    </module>"
4.8.8 Numeric Literals,"`long` -valued integer literals use an uppercase `L` suffix, never lowercase (to avoid confusion with the digit `1` ). For example, `3000000000L` rather than `3000000000l` .","<module name=""Checker"">
  <module name=""TreeWalker"">
    <module name=""UpperEll""/>
  </module>
</module>",Yes,"<module name='UpperEll'>
        <property name='id' value='UpperEll'/>
    </module>"
5.1 Rules common to all identifiers,"Identifiers use only ASCII letters and digits, and, in a small number of cases noted below, underscores. Thus each valid identifier name is matched by the regular expression `\w+` .
 In Google Style, special prefixes or suffixes are not used. For example, these names are not Google Style: `name_` , `mName` , `s_name` and `kName` .",,Yes,"<module name='Regexp'>
        <property name='id' value='identifierNaming'/>
        <property name='format' value='\\w+'/>
        <property name='message' value='Identifiers must use only ASCII letters, digits, and underscores.'/>
    </module>
    
<module name='Regexp'>
        <property name='id' value='noSpecialPrefixesSuffixes'/>
        <property name='format' value='^(?!.*(_|m|s_|k)).*$'/>
        <property name='message' value='Identifiers must not use special prefixes or suffixes like name_, mName, s_name, or kName.'/>
    </module>"
5.2.1 Package names,"Package names use only lowercase letters and digits (no underscores). Consecutive words are simply concatenated together. For example, `com.example.deepspace` , not `com.example.deepSpace` or `com.example.deep_space` .","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""PackageName"">
                        <property name=""format"" value=""^[a-z]+(\.[a-z][a-z0-9]*)*$""/>
                        <message key=""name.invalidPattern"" value=""Package name ''{0}'' must match pattern ''{1}''.""/>
                </module>
        </module>
</module>",Yes,"<module name='PackageName'>
        <property name='format' value='^[a-z]+(\.[a-z][a-z0-9]*)*$'/>
    </module>"
5.2.2 Class names,"Class names are written in UpperCamelCase .
 Class names are typically nouns or noun phrases. For example, `Character` or `ImmutableList` . Interface names may also be nouns or noun phrases (for example, `List` ), but may sometimes be adjectives or adjective phrases instead (for example, `Readable` ).
 There are no specific rules or even well-established conventions for naming annotation types.
 A test class has a name that ends with `Test` , for example, `HashIntegrationTest` . If it covers a single class, its name is the name of that class plus `Test` , for example `HashImplTest` .","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""TypeName"">
                        <property name=""tokens"" value=""CLASS_DEF, INTERFACE_DEF, ENUM_DEF, ANNOTATION_DEF, RECORD_DEF""/>
                        <property name=""format"" value=""^[A-Z][a-zA-Z0-9]*$""/>
                        <message key=""name.invalidPattern"" value=""Type name ''{0}'' must match pattern ''{1}''.""/>
                </module>
        </module>
</module>",Yes,"<module name='Checker'>
        
<module name='TreeWalker'>
            
<module name='ClassTypeParameterName'>
                <property name='format' value='^[A-Z][a-zA-Z0-9]*$'/>
            </module>
            
<module name='ClassName'>
                <property name='format' value='^[A-Z][a-zA-Z0-9]*$'/>
            </module>
            
<module name='InterfaceTypeParameterName'>
                <property name='format' value='^[A-Z][a-zA-Z0-9]*$'/>
            </module>
            
<module name='TestClassName'>
                <property name='format' value='^.*Test$'/>
            </module>
        </module>
    </module>"
5.2.3 Method names,"Method names are written in lowerCamelCase .
 Method names are typically verbs or verb phrases. For example, `sendMessage` or `stop` .
 Underscores may appear in JUnit test method names to separate logical components of the name, with each component written in lowerCamelCase , for example `transferMoney_deductsFromSource` . There is no One Correct Way to name test methods.","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""MethodName"">
                        <property name=""format"" value=""^[a-z][a-z0-9]\w*$""/>
                        <message key=""name.invalidPattern"" value=""Method name ''{0}'' must match pattern ''{1}''.""/>
                </module>
        </module>
</module>",Yes,"<module name='MethodName'>
        <property name='format' value='^[a-z][a-zA-Z0-9]*$'/>
    </module>
    
<module name='MethodName'>
        <property name='format' value='^[a-z][a-zA-Z0-9]*(_[a-z][a-zA-Z0-9]*)*$'/>
        <property name='ignoreMethodNames' value='true'/>
    </module>"
5.2.4 Constant names,"Constant names use `UPPER_SNAKE_CASE` : all uppercase letters, with each word separated from the next by a single underscore. But what is a constant, exactly?
 Constants are static final fields whose contents are deeply immutable and whose methods have no detectable side effects. Examples include primitives, strings, immutable value classes, and anything set to `null` . If any of the instance's observable state can change, it is not a constant. Merely intending to never mutate the object is not enough. Examples:
 // Constants
 static final int NUMBER = 5;
 static final ImmutableList<String> NAMES = ImmutableList.of(""Ed"", ""Ann"");
 static final Map<String, Integer> AGES = ImmutableMap.of(""Ed"", 35, ""Ann"", 32);
 static final Joiner COMMA_JOINER = Joiner.on(','); // because Joiner is immutable
 static final SomeMutableType[] EMPTY_ARRAY = {};
 

 // Not constants
 static String nonFinal = ""non-final"";
 final String nonStatic = ""non-static"";
 static final Set<String> mutableCollection = new HashSet<String>();
 static final ImmutableSet<SomeMutableType> mutableElements = ImmutableSet.of(mutable);
 static final ImmutableMap<String, SomeMutableType> mutableValues =
  ImmutableMap.of(""Ed"", mutableInstance, ""Ann"", mutableInstance2);
 static final Logger logger = Logger.getLogger(MyClass.getName());
 static final String[] nonEmptyArray = {""these"", ""can"", ""change""};
 

 These names are typically nouns or noun phrases.","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""ConstantName"">
                        <property name=""format"" value=""^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$""/>
                </module>
        </module>
</module>",Yes,"<module name='ConstantName'>
        <property name='format' value='^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'/>
    </module>
    
<module name='ModifierOrder'>
        <property name='order' value='static, final'/>
    </module>
    
<module name='FinalClass'>
        <property name='tokens' value='CLASS_DEF'/>
    </module>"
5.2.5 Non-constant field names,"Non-constant field names (static or otherwise) are written in lowerCamelCase .
 These names are typically nouns or noun phrases. For example, `computedValues` or `index` .","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""MemberName"">
                        <property name=""format"" value=""^[a-z][a-z0-9][a-zA-Z0-9]*$""/>
                        <message key=""name.invalidPattern"" value=""Member name ''{0}'' must match pattern ''{1}''.""/>
                </module>
        </module>
</module>",Yes,"<module name='RegexpSingleline'>
        <property name='id' value='nonConstantFieldName'/>
        <property name='format' value='^[a-z][a-zA-Z0-9]*$'/>
        <property name='message' value='Non-constant field names should be in lowerCamelCase'/>
    </module>"
5.2.6 Parameter names,"Parameter names are written in lowerCamelCase .
 One-character parameter names in public methods should be avoided.","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""ParameterName"">
                        <property name=""format"" value=""^[a-z]([a-z0-9][a-zA-Z0-9]*)?$""/>
                        <message key=""name.invalidPattern"" value=""Parameter name ''{0}'' must match pattern ''{1}''.""/>
                </module>
                <module name=""LambdaParameterName"">
                        <property name=""format"" value=""^[a-z]([a-z0-9][a-zA-Z0-9]*)?$""/>
                        <message key=""name.invalidPattern"" value=""Lambda parameter name ''{0}'' must match pattern ''{1}''.""/>
                </module>
                <module name=""CatchParameterName"">
                        <property name=""format"" value=""^[a-z]([a-z0-9][a-zA-Z0-9]*)?$""/>
                        <message key=""name.invalidPattern"" value=""Catch parameter name ''{0}'' must match pattern ''{1}''.""/>
                </module>
                <module name=""RecordComponentName"">
                        <property name=""format"" value=""^[a-z]([a-z0-9][a-zA-Z0-9]*)?$""/>
                        <message key=""name.invalidPattern"" value=""Record component name ''{0}'' must match pattern ''{1}''.""/>
                </module>
        </module>
</module>",Yes,"<module name='ParameterName'>
        <property name='format' value='^[a-z][a-zA-Z0-9]*$'/>
    </module>
    
<module name='SingleCharacterName'>
        <property name='format' value='^[^a-zA-Z]$'/>
        <property name='ignoreOverriddenMethods' value='true'/>
    </module>"
5.2.7 Local variable names,"Local variable names are written in lowerCamelCase .
 Even when final and immutable, local variables are not considered to be constants, and should not be styled as constants.","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""LocalVariableName"">
                        <property name=""format"" value=""^[a-z]([a-z0-9][a-zA-Z0-9]*)?$""/>
                        <message key=""name.invalidPattern"" value=""Local variable name ''{0}'' must match pattern ''{1}''.""/>
                </module>
                <module name=""LocalFinalVariableName"">
                        <property name=""format"" value=""^[a-z]([a-z0-9][a-zA-Z0-9]*)?$""/>
                </module>
                <module name=""PatternVariableName"">
                        <property name=""format"" value=""^[a-z]([a-z0-9][a-zA-Z0-9]*)?$""/>
                        <message key=""name.invalidPattern"" value=""Pattern variable name ''{0}'' must match pattern ''{1}''.""/>
                </module>
        </module>
</module>",Yes,"<module name='LocalVariableName'>
        <property name='format' value='^[a-z][a-zA-Z0-9]*$'/>
    </module>"
5.2.8 Type variable names,"Each type variable is named in one of two styles:
 A single capital letter, optionally followed by a single numeral (such as `E` , `T` , `X` , `T2` ) 
 A name in the form used for classes (see Section 5.2.2, Class names ), followed by the capital letter `T` (examples: `RequestT` , `FooBarT` ).","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""ClassTypeParameterName"">
                        <property name=""format"" value=""(^[A-Z][0-9]?)$|([A-Z][a-zA-Z0-9]*[T]$)""/>
                        <message key=""name.invalidPattern"" value=""Class type name ''{0}'' must match pattern ''{1}''.""/>
                </module>
                <module name=""RecordTypeParameterName"">
                        <property name=""format"" value=""(^[A-Z][0-9]?)$|([A-Z][a-zA-Z0-9]*[T]$)""/>
                        <message key=""name.invalidPattern"" value=""Record type name ''{0}'' must match pattern ''{1}''.""/>
                </module>
                <module name=""MethodTypeParameterName"">
                        <property name=""format"" value=""(^[A-Z][0-9]?)$|([A-Z][a-zA-Z0-9]*[T]$)""/>
                        <message key=""name.invalidPattern"" value=""Method type name ''{0}'' must match pattern ''{1}''.""/>
                </module>
                <module name=""InterfaceTypeParameterName"">
                        <property name=""format"" value=""(^[A-Z][0-9]?)$|([A-Z][a-zA-Z0-9]*[T]$)""/>
                        <message key=""name.invalidPattern"" value=""Interface type name ''{0}'' must match pattern ''{1}''.""/>
                </module>
        </module>
</module>",Yes,"<module name='TypeName'>
        <property name='id' value='TypeName'/>
        <property name='format' value='^[A-Z][0-9]?$|^[A-Z][a-zA-Z0-9]*T$'/>
    </module>"
