title,belongs to,description,example,appendix
Writing resolvers,Resolvers/Writing resolvers,"Our code should aim to be thin declarative wrappers around finders and services . You can repeat lists of arguments, or extract them to concerns. Composition is preferred over inheritance in most cases. Treat resolvers like controllers: resolvers should be a DSL that compose other application abstractions.
For example:","class PostResolver < BaseResolver
  type Post.connection_type, null: true
  authorize :read_blog
  description 'Blog posts, optionally filtered by name'

  argument :name, [::GraphQL::Types::String], required: false, as: :slug

  alias_method :blog, :object

  def resolve(**args)
    PostFinder.new(blog, current_user, args).execute
  end
end
","While you can use the same resolver class in two different places, such as in two different fields where the same object is exposed, you should never re-use resolver objects directly. Resolvers have a complex life-cycle, with authorization, readiness and resolution orchestrated by the framework, and at each stage lazy values can be returned to take advantage of batching opportunities. Never instantiate a resolver or a mutation in application code.
Instead, the units of code reuse are much the same as in the rest of the application:
Finders in queries to look up data. 
Services in mutations to apply operations. 
Loaders (batch-aware finders) specific to queries.
There is never any reason to use batching in a mutation. Mutations are executed in series, so there are no batching opportunities. All values are evaluated eagerly as soon as they are requested, so batching is unnecessary overhead. If you are writing:
A `Mutation` , feel free to lookup objects directly. 
A `Resolver` or methods on a `BaseObject` , then you want to allow for batching."
Error handling,Resolvers/Error handling,"Resolvers may raise errors, which are converted to top-level errors as appropriate. All anticipated errors should be caught and transformed to an appropriate GraphQL error (see Gitlab::Graphql::Errors ). Any uncaught errors are suppressed and the client receives the message `Internalserviceerror` .
The one special case is permission errors. In the REST API we return `404NotFound` for any resources that the user does not have permission to access. The equivalent behavior in GraphQL is for us to return `null` for all absent or unauthorized resources. Query resolvers should not raise errors for unauthorized resources .
The rationale for this is that clients must not be able to distinguish between the absence of a record and the presence of one they do not have access to. To do so is a security vulnerability, because it leaks information we want to keep hidden.
In most cases you don’t need to worry about this - this is handled correctly by the resolver field authorization we declare with the `authorize` DSL calls. If you need to do something more custom however, remember, if you encounter an object the `current_user` does not have access to when resolving a field, then the entire field should resolve to `null` .",,
Deriving resolvers,Resolvers/Deriving resolvers,"(including `BaseResolver.single` and `BaseResolver.last` )
For some use cases, we can derive resolvers from others. The main use case for this is one resolver to find all items, and another to find one specific one. For this, we supply convenience methods:
`BaseResolver.single` , which constructs a new resolver that selects the first item. 
`BaseResolver.last` , which constructs a resolver that selects the last item.
The correct singular type is inferred from the collection type, so we don’t have to define the `type` here.
Before you make use of these methods, consider if it would be simpler to either:
Write another resolver that defines its own arguments. 
Write a concern that abstracts out the query.
Using `BaseResolver.single` too freely is an anti-pattern. It can lead to non-sensical fields, such as a `Project.mergeRequest` field that just returns the first MR if no arguments are given. Whenever we derive a single resolver from a collection resolver, it must have more restrictive arguments.
To make this possible, use the `when_single` block to customize the single resolver. Every `when_single` block must:
Define (or re-define) at least one argument. 
Make optional filters required.
For example, we can do this by redefining an existing optional argument, changing its type and making it required:","class JobsResolver < BaseResolver
  type JobType.connection_type, null: true
  authorize :read_pipeline

  argument :name, [::GraphQL::Types::String], required: false

  when_single do
    argument :name, ::GraphQL::Types::String, required: true
  end

  def resolve(**args)
    JobsFinder.new(pipeline, current_user, args.compact).execute
  end
",
Deriving resolvers,Resolvers/Deriving resolvers,"Here we have a resolver for getting pipeline jobs. The `name` argument is optional when getting a list, but required when getting a single job.
If there are multiple arguments, and neither can be made required, we can use the block to add a ready condition:","class JobsResolver < BaseResolver
  alias_method :pipeline, :object

  type JobType.connection_type, null: true
  authorize :read_pipeline

  argument :name, [::GraphQL::Types::String], required: false
  argument :id, [::Types::GlobalIDType[::Job]],
           required: false,
           prepare: ->(ids, ctx) { ids.map(&:model_id) }

  when_single do
    argument :name, ::GraphQL::Types::String, required: false
    argument :id, ::Types::GlobalIDType[::Job],
             required: false
             prepare: ->(id, ctx) { id.model_id }

    def ready?(**args)
      raise ::Gitlab::Graphql::Errors::ArgumentError, 'Only one argument may be provided' unless args.size == 1
    end
  end

  def resolve(**args)
    JobsFinder.new(pipeline, current_user, args.compact).execute
  end
",
Deriving resolvers,Resolvers/Deriving resolvers,Then we can use these resolver on fields:,"# In PipelineType

field :jobs, resolver: JobsResolver, description: 'All jobs.'
field :job, resolver: JobsResolver.single, description: 'A single job.'
",
Look-Ahead,Resolvers/Optimizing Resolvers/Look-Ahead,"The full query is known in advance during execution, which means we can make use of lookahead to optimize our queries, and batch load associations we know we need. Consider adding lookahead support in your resolvers to avoid `N+1` performance issues.
To enable support for common lookahead use-cases (pre-loading associations when child fields are requested), you can include LooksAhead . For example:","# Assuming a model `MyThing` with attributes `[child_attribute, other_attribute, nested]`,
# where nested has an attribute named `included_attribute`.
class MyThingResolver < BaseResolver
  include LooksAhead

  # Rather than defining `resolve(**args)`, we implement: `resolve_with_lookahead(**args)`
  def resolve_with_lookahead(**args)
    apply_lookahead(MyThingFinder.new(current_user).execute)
  end

  # We list things that should always be preloaded:
  # For example, if child_attribute is always needed (during authorization
  # perhaps), then we can include it here.
  def unconditional_includes
    [:child_attribute]
  end

  # We list things that should be included if a certain field is selected:
  def preloads
    {
        field_one: [:other_attribute],
        field_two: [{ nested: [:included_attribute] }]
    }
  end
end
",
Look-Ahead,Resolvers/Optimizing Resolvers/Look-Ahead,"By default, fields defined in `#preloads` are preloaded if that field is selected in the query. Occasionally, finer control may be needed to avoid preloading too much or incorrect content.
Extending the above example, we might want to preload a different association if certain fields are requested together. This can be done by overriding `#filtered_preloads` :","class MyThingResolver < BaseResolver
  # ...

  def filtered_preloads
    return [:alternate_attribute] if lookahead.selects?(:field_one) && lookahead.selects?(:field_two)

    super
  end
end
",
Look-Ahead,Resolvers/Optimizing Resolvers/Look-Ahead,"The `LooksAhead` concern also provides basic support for preloading associations based on nested GraphQL field definitions. The WorkItemsResolver is a good example for this. `nested_preloads` is another method you can define to return a hash, but unlike the `preloads` method, the value for each hash key is another hash and not the list of associations to preload. So in the previous example, you could override `nested_preloads` like this:","class MyThingResolver < BaseResolver
  # ...

  def nested_preloads
    {
      root_field: {
        nested_field1: :association_to_preload,
        nested_field2: [:association1, :association2]
      }
    }
  end
end
","For an example of real world use, see ResolvesMergeRequests ."
before_connection_authorization,Resolvers/Optimizing Resolvers/before_connection_authorization,"A `before_connection_authorization` hook can help resolvers eliminate N+1 problems that originate from type authorization permission checks.
The `before_connection_authorization` method receives the resolved nodes and the current user. In the block, use `ActiveRecord::Associations::Preloader` or a `Preloaders::` class to preload data for the type authorization check.
Example:","class LabelsResolver < BaseResolver
  before_connection_authorization do |labels, current_user|
    Preloaders::LabelsPreloader.new(labels, current_user).preload_all
  end
end
",
BatchLoading,Resolvers/Optimizing Resolvers/BatchLoading,See GraphQL BatchLoader .,,
Correct use of Resolver#ready?,Resolvers/Optimizing Resolvers/Correct use of Resolver#ready?,"Resolvers have two public API methods as part of the framework: `#ready?(**args)` and `#resolve(**args)` . We can use `#ready?` to perform set-up, validation, or early-return without invoking `#resolve` .
Good reasons to use `#ready?` include:
Validating mutually exclusive arguments. 
Returning `Relation.none` if we know before-hand that no results are possible. 
Performing setup such as initializing instance variables (although consider lazily initialized methods for this).
Implementations of Resolver#ready?(**args) should return `(Boolean,early_return_data)` as follows:","def ready?(**args)
  [false, 'have this instead']
end
","For this reason, whenever you call a resolver (mainly in tests because framework abstractions Resolvers should not be considered re-usable, finders are to be preferred), remember to call the `ready?` method and check the boolean flag before calling `resolve` ! An example can be seen in our GraphqlHelpers ."
Negated arguments,Resolvers/Optimizing Resolvers/Negated arguments,"Negated filters can filter some resources (for example, find all issues that have the `bug` label, but don’t have the `bug2` label assigned). The `not` argument is the preferred syntax to pass negated arguments:","issues(labelName: ""bug"", not: {labelName: ""bug2""}) {
  nodes {
    id
    title
  }
}
","To avoid duplicated argument definitions, you can place these arguments in a reusable module (or class, if the arguments are nested). Alternatively, you can consider to add a helper resolver method ."
Metadata,Resolvers/Optimizing Resolvers/Metadata,"When using resolvers, they can and should serve as the SSoT for field metadata. All field options (apart from the field name) can be declared on the resolver. These include:
`type` (required - all resolvers must include a type annotation) 
`extras` 
`description` 
Gitaly annotations (with `calls_gitaly!` )
Example:","module Resolvers
  MyResolver < BaseResolver
    type Types::MyType, null: true
    extras [:lookahead]
    description 'Retrieve a single MyType'
    calls_gitaly!
  end
end
",
Pass a parent object into a child Presenter,Resolvers/Optimizing Resolvers/Pass a parent object into a child Presenter,"Sometimes you need to access the resolved query parent in a child context to compute fields. Usually the parent is only available in the `Resolver` class as `parent` .
To find the parent object in your `Presenter` class:
Add the parent object to the GraphQL `context` from your resolver’s `resolve` method:","  def resolve(**args)
    context[:parent_object] = parent
  end
",
Pass a parent object into a child Presenter,Resolvers/Optimizing Resolvers/Pass a parent object into a child Presenter,Declare that your resolver or fields require the `parent` field context. For example:,"  # in ChildType
  field :computed_field, SomeType, null: true,
        method: :my_computing_method,
        extras: [:parent], # Necessary
        description: 'My field description.'

  field :resolver_field, resolver: SomeTypeResolver

  # In SomeTypeResolver

  extras [:parent]
  type SomeType, null: true
  description 'My field description.'
",
Pass a parent object into a child Presenter,Resolvers/Optimizing Resolvers/Pass a parent object into a child Presenter,"Declare your field’s method in your Presenter class and have it accept the `parent` keyword argument. This argument contains the parent GraphQL context , so you have to access the parent object with `parent[:parent_object]` or whatever key you used in your `Resolver` :","  # in ChildPresenter
  def my_computing_method(parent:)
    # do something with `parent[:parent_object]` here
  end

  # In SomeTypeResolver

  def resolve(parent:)
    # ...
  end
","For an example of real-world use, check this MR that added
 
 scopedPath
 
 and
 
 scopedUrl
 
 to
 
 IterationPresenter"
Mutations,Mutations,"Mutations are used to change any stored values, or to trigger actions. In the same way a GET-request should not modify data, we cannot modify data in a regular GraphQL-query. We can however in a mutation.",,
Building Mutations,Mutations/Building Mutations,"Mutations are stored in `app/graphql/mutations` , ideally grouped per resources they are mutating, similar to our services. They should inherit `Mutations::BaseMutation` . The fields defined on the mutation are returned as the result of the mutation.",,
Update mutation granularity,Mutations/Building Mutations/Update mutation granularity,"The service-oriented architecture in GitLab means that most mutations call a Create, Delete, or Update service, for example `UpdateMergeRequestService` . For Update mutations, you might want to only update one aspect of an object, and thus only need a fine-grained mutation, for example `MergeRequest::SetDraft` .
It’s acceptable to have both fine-grained mutations and coarse-grained mutations, but be aware that too many fine-grained mutations can lead to organizational challenges in maintainability, code comprehensibility, and testing. Each mutation requires a new class, which can lead to technical debt. It also means the schema becomes very big, which can make it difficult for users to navigate our schema. As each new mutation also needs tests (including slower request integration tests), adding mutations slows down the test suite.
To minimize changes:
Use existing mutations, such as `MergeRequest::Update` , when available. 
Expose existing services as a coarse-grained mutation.
When a fine-grained mutation might be more appropriate:
Modifying a property that requires specific permissions or other specialized logic. 
Exposing a state-machine-like transition (locking issues, merging MRs, closing epics, etc). 
Accepting nested properties (where we accept properties for a child object). 
The semantics of the mutation can be expressed clearly and concisely.
See issue #233063 for further context.",,
Naming conventions,Mutations/Building Mutations/Naming conventions,"Each mutation must define a `graphql_name` , which is the name of the mutation in the GraphQL schema.
Example:","class UserUpdateMutation < BaseMutation
  graphql_name 'UserUpdate'
end
","Due to changes in the `1.13` version of the `graphql-ruby` gem, `graphql_name` should be the first line of the class to ensure that type names are generated correctly. The `Graphql::GraphqlNamePosition` cop enforces this. See issue #27536 for further context.
Our GraphQL mutation names are historically inconsistent, but new mutation names should follow the convention `'{Resource}{Action}'` or `'{Resource}{Action}{Attribute}'` .
Mutations that create new resources should use the verb `Create` .
Example:
`CommitCreate`
Mutations that update data should use:
The verb `Update` . 
A domain-specific verb like `Set` , `Add` , or `Toggle` if more appropriate.
Examples:
`EpicTreeReorder` 
`IssueSetWeight` 
`IssueUpdate` 
`TodoMarkDone`
Mutations that remove data should use:
The verb `Delete` rather than `Destroy` . 
A domain-specific verb like `Remove` if more appropriate.
Examples:
`AwardEmojiRemove` 
`NoteDelete`
If you need advice for mutation naming, canvass the Slack `#graphql` channel for feedback."
Fields,Mutations/Building Mutations/Fields,"In the most common situations, a mutation would return 2 fields:
The resource being modified 
A list of errors explaining why the action could not be performed. If the mutation succeeded, this list would be empty.
By inheriting any new mutations from `Mutations::BaseMutation` the `errors` field is automatically added. A `clientMutationId` field is also added, this can be used by the client to identify the result of a single mutation when multiple are performed in a single request.",,
The resolve method,Mutations/Building Mutations/The resolve method,"Similar to writing resolvers , the `resolve` method of a mutation should aim to be a thin declarative wrapper around a service .
The `resolve` method receives the mutation’s arguments as keyword arguments. From here, we can call the service that modifies the resource.
The `resolve` method should then return a hash with the same field names as defined on the mutation including an `errors` array. For example, the `Mutations::MergeRequests::SetDraft` defines a `merge_request` field:","field :merge_request,
      Types::MergeRequestType,
      null: true,
      description: ""The merge request after mutation.""
",
The resolve method,Mutations/Building Mutations/The resolve method,This means that the hash returned from `resolve` in this mutation should look like this:,"{
  # The merge request modified, this will be wrapped in the type
  # defined on the field
  merge_request: merge_request,
  # An array of strings if the mutation failed after authorization.
  # The `errors_on_object` helper collects `errors.full_messages`
  errors: errors_on_object(merge_request)
}
",
Mounting the mutation,Mutations/Building Mutations/Mounting the mutation,To make the mutation available it must be defined on the mutation type that is stored in `graphql/types/mutation_type` . The `mount_mutation` helper method defines a field based on the GraphQL-name of the mutation:,"module Types
  class MutationType < BaseObject
    graphql_name 'Mutation'

    include Gitlab::Graphql::MountMutation

    mount_mutation Mutations::MergeRequests::SetDraft
  end
end
",Generates a field called `mergeRequestSetDraft` that `Mutations::MergeRequests::SetDraft` to be resolved.
Authorizing resources,Mutations/Building Mutations/Authorizing resources,"To authorize resources inside a mutation, we first provide the required abilities on the mutation like this:","module Mutations
  module MergeRequests
    class SetDraft < Base
      graphql_name 'MergeRequestSetDraft'

      authorize :update_merge_request
    end
  end
end
","We can then call `authorize!` in the `resolve` method, passing in the resource we want to validate the abilities for.
Alternatively, we can add a `find_object` method that loads the object on the mutation. This would allow you to use the `authorized_find!` helper method.
When a user is not allowed to perform the action, or an object is not found, we should raise a `Gitlab::Graphql::Errors::ResourceNotAvailable` by calling `raise_resource_not_available_error!` from in the `resolve` method."
Errors in mutations,Mutations/Building Mutations/Errors in mutations,"We encourage following the practice of errors as data for mutations, which distinguishes errors by who they are relevant to, defined by who can deal with them.
Key points:
All mutation responses have an `errors` field. This should be populated on failure, and may be populated on success. 
Consider who needs to see the error: the user or the developer . 
Clients should always request the `errors` field when performing mutations. 
Errors may be reported to users either at `$root.errors` (top-level error) or at `$root.data.mutationName.errors` (mutation errors). The location depends on what kind of error this is, and what information it holds. 
Mutation fields must have
 
 null: true
Consider an example mutation `doTheThing` that returns a response with two fields: `errors:[String]` , and `thing:ThingType` . The specific nature of the `thing` itself is irrelevant to these examples, as we are considering the errors.
The three states a mutation response can be in are:
Success 
Failure (relevant to the user) 
Failure (irrelevant to the user)",,
Success,Mutations/Building Mutations/Errors in mutations/Success,"In the happy path, errors may be returned, along with the anticipated payload, but if everything was successful, then `errors` should be an empty array, because there are no problems we need to inform the user of.","{
  data: {
    doTheThing: {
      errors: [] // if successful, this array will generally be empty.
      thing: { .. }
    }
  }
}
",
Failure (relevant to the user),Mutations/Building Mutations/Errors in mutations/Failure (relevant to the user),"An error that affects the user occurred. We refer to these as mutation errors .
In a create mutation there is typically no `thing` to return.
In an update mutation we return the current true state of `thing` . Developers may need to call `#reset` on the `thing` instance to ensure this happens.","{
  data: {
    doTheThing: {
      errors: [""you cannot touch the thing""],
      thing: { .. }
    }
  }
}
","Examples of this include:
Model validation errors: the user may need to change the inputs. 
Permission errors: the user needs to know they cannot do this, they may need to request permission or sign in. 
Problems with the application state that prevent the user’s action (for example, merge conflicts or a locked resource).
Ideally, we should prevent the user from getting this far, but if they do, they need to be told what is wrong, so they understand the reason for the failure and what they can do to achieve their intent. For example, they might only need to retry the request.
It is possible to return recoverable errors alongside mutation data. For example, if a user uploads 10 files and 3 of them fail and the rest succeed, the errors for the failures can be made available to the user, alongside the information about the successes."
Failure (irrelevant to the user),Mutations/Building Mutations/Errors in mutations/Failure (irrelevant to the user),"One or more non-recoverable errors can be returned at the top level . These are things over which the user has little to no control, and should mainly be system or programming problems, that a developer needs to know about. In this case there is no `data` :","{
  errors: [
    {""message"": ""argument error: expected an integer, got null""},
  ]
}
","This results from raising an error during the mutation. In our implementation, the messages of argument errors and validation errors are returned to the client, and all other `StandardError` instances are caught, logged and presented to the client with the message set to `""Internalservererror""` . See GraphqlController for details.
These represent programming errors, such as:
A GraphQL syntax error, where an `Int` was passed instead of a `String` , or a required argument was not present. 
Errors in our schema, such as being unable to provide a value for a non-nullable field. 
System errors: for example, a Git storage exception, or database unavailability.
The user should not be able to cause such errors in regular usage. This category of errors should be treated as internal, and not shown to the user in specific detail.
We need to inform the user when the mutation fails, but we do not need to tell them why, because they cannot have caused it, and nothing they can do fixes it, although we may offer to retry the mutation."
Categorizing errors,Mutations/Building Mutations/Errors in mutations/Categorizing errors,"When we write mutations, we need to be conscious about which of these two categories an error state falls into (and communicate about this with frontend developers to verify our assumptions). This means distinguishing the needs of the user from the needs of the client .
Never catch an error unless the user needs to know about it.
If the user does need to know about it, communicate with frontend developers to make sure the error information we are passing back is relevant and serves a purpose.
See also the frontend GraphQL guide .",,
Aliasing and deprecating mutations,Mutations/Building Mutations/Errors in mutations/Aliasing and deprecating mutations,"The `#mount_aliased_mutation` helper allows us to alias a mutation as another name in `MutationType` .
For example, to alias a mutation called `FooMutation` as `BarMutation` :","mount_aliased_mutation 'BarMutation', Mutations::FooMutation
",
Aliasing and deprecating mutations,Mutations/Building Mutations/Errors in mutations/Aliasing and deprecating mutations,"This allows us to rename a mutation and continue to support the old name, when coupled with the deprecated argument.
Example:","mount_aliased_mutation 'UpdateFoo',
                        Mutations::Foo::Update,
                        deprecated: { reason: 'Use fooUpdate', milestone: '13.2' }
","Deprecated mutations should be added to `Types::DeprecatedMutations` and tested for in the unit test of `Types::MutationType` . The merge request !34798 can be referred to as an example of this, including the method of testing deprecated aliased mutations."
Deprecating EE mutations,Mutations/Building Mutations/Errors in mutations/Aliasing and deprecating mutations/Deprecating EE mutations,"EE mutations should follow the same process. For an example of the merge request process, read merge request !42588 .",,
Subscriptions,Subscriptions,"We use subscriptions to push updates to clients. We use the Action Cable implementation to deliver the messages over websockets.
When a client subscribes to a subscription, we store their query in-memory in Puma workers. Then when the subscription is triggered, the Puma workers execute the stored GraphQL queries and push the results to the clients.
note 
We cannot test subscriptions using GraphiQL, because they require an Action Cable client, which GraphiQL does not support at the moment.",,
Building subscriptions,Subscriptions/Building subscriptions,"All fields under `Types::SubscriptionType` are subscriptions that clients can subscribe to. These fields require a subscription class, which is a descendant of `Subscriptions::BaseSubscription` and is stored under `app/graphql/subscriptions` .
The arguments required to subscribe and the fields that are returned are defined in the subscription class. Multiple fields can share the same subscription class if they have the same arguments and return the same fields.
This class runs during the initial subscription request and subsequent updates. You can read more about this in the GraphQL Ruby guides .",,
Authorization,Subscriptions/Authorization,"You should implement the `#authorized?` method of the subscription class so that the initial subscription and subsequent updates are authorized.
When a user is not authorized, you should call the `unauthorized!` helper so that execution is halted and the user is unsubscribed. Returning `false` results in redaction of the response, but we leak information that some updates are happening. This leakage is due to a bug in the GraphQL gem .",,
Triggering subscriptions,Subscriptions/Triggering subscriptions,Define a method under the `GraphqlTriggers` module to trigger a subscription. Do not call `GitlabSchema.subscriptions.trigger` directly in application code so that we have a single source of truth and we do not trigger a subscription with different arguments and objects.,,
Pagination implementation,Pagination implementation,"For more information, see GraphQL pagination .",,
Arguments,Arguments,"Arguments for a resolver or mutation are defined using `argument` .
Example:","argument :my_arg, GraphQL::Types::String,
         required: true,
         description: ""A description of the argument.""
",
Nullability,Arguments/Nullability,"Arguments can be marked as `required:true` which means the value must be present and not `null` . If a required argument’s value can be `null` , use the `required::nullable` declaration.
Example:","argument :due_date,
         Types::TimeType,
         required: :nullable,
         description: 'The desired due date for the issue. Due date is removed if null.'
",
Nullability,Arguments/Nullability,"In the above example, the `due_date` argument must be given, but unlike the GraphQL spec, the value can be `null` . This allows ‘unsetting’ the due date in a single mutation rather than creating a new mutation for removing the due date.","{ due_date: null } # => OK
{ due_date: ""2025-01-10"" } # => OK
{  } # => invalid (not given)
",
Nullability and required: false,Arguments/Nullability/Nullability and required: false,"If an argument is marked `required:false` the client is permitted to send `null` as a value. Often this is undesirable.
If an argument is optional but `null` is not an allowed value, use validation to ensure that passing `null` returns an error:","argument :name, GraphQL::Types::String,
         required: false,
         validates: { allow_null: false }
",
Nullability and required: false,Arguments/Nullability/Nullability and required: false,"Alternatively, if you wish to allow `null` when it is not an allowed value, you can replace it with a default value:","argument :name, GraphQL::Types::String,
         required: false,
         default_value: ""No Name Provided"",
         replace_null_with_default: true
","See Validation , Nullability and Default Values for more details."
Keywords,Arguments/Nullability/Keywords,"Each GraphQL `argument` defined is passed to the `#resolve` method of a mutation as keyword arguments.
Example:","def resolve(my_arg:)
  # Perform mutation ...
end
",
Input Types,Arguments/Nullability/Input Types,"`graphql-ruby` wraps up arguments into an input type .
For example, the mergeRequestSetDraft
 
 mutation defines these arguments (some through inheritance ):","argument :project_path, GraphQL::Types::ID,
         required: true,
         description: ""Project the merge request belongs to.""

argument :iid, GraphQL::Types::String,
         required: true,
         description: ""IID of the merge request.""

argument :draft,
         GraphQL::Types::Boolean,
         required: false,
         description: <<~DESC
           Whether or not to set the merge request as a draft.
         DESC
",These arguments automatically generate an input type called `MergeRequestSetDraftInput` with the 3 arguments we specified and the `clientMutationId` .
Object identifier arguments,Arguments/Nullability/Object identifier arguments,"Arguments that identify an object should be:
A full path or an IID if an object has either. 
The object’s Global ID for all other objects. Never use plain database primary key IDs.",,
Full path object identifier arguments,Arguments/Nullability/Object identifier arguments/Full path object identifier arguments,"Historically we have been inconsistent with the naming of full path arguments, but prefer to name the argument:
`project_path` for a project full path 
`group_path` for a group full path 
`namespace_path` for a namespace full path
Using an example from the ciJobTokenScopeRemoveProject
 
 mutation :","argument :project_path, GraphQL::Types::ID,
         required: true,
         description: 'Project the CI job token scope belongs to.'
",
IID object identifier arguments,Arguments/Nullability/Object identifier arguments/IID object identifier arguments,Use the `iid` of an object in combination with its parent `project_path` or `group_path` . For example:,"argument :project_path, GraphQL::Types::ID,
         required: true,
         description: 'Project the issue belongs to.'

argument :iid, GraphQL::Types::String,
         required: true,
         description: 'IID of the issue.'
",
Global ID object identifier arguments,Arguments/Nullability/Object identifier arguments/Global ID object identifier arguments,"Using an example from the discussionToggleResolve
 
 mutation :","argument :id, Types::GlobalIDType[Discussion],
         required: true,
         description: 'Global ID of the discussion.'
",See also Deprecate Global IDs .
Sort arguments,Arguments/Nullability/Object identifier arguments/Sort arguments,"Sort arguments should use an enum type whenever possible to describe the set of available sorting values.
The enum can inherit from `Types::SortEnum` to inherit some common values.
The enum values should follow the format `{PROPERTY}_{DIRECTION}` . For example:","TITLE_ASC
",
Sort arguments,Arguments/Nullability/Object identifier arguments/Sort arguments,"Also see the description style guide for sort enums .
Example from ContainerRepositoriesResolver :","# Types::ContainerRepositorySortEnum:
module Types
  class ContainerRepositorySortEnum < SortEnum
    graphql_name 'ContainerRepositorySort'
    description 'Values for sorting container repositories'

    value 'NAME_ASC', 'Name by ascending order.', value: :name_asc
    value 'NAME_DESC', 'Name by descending order.', value: :name_desc
  end
end

# Resolvers::ContainerRepositoriesResolver:
argument :sort, Types::ContainerRepositorySortEnum,
          description: 'Sort container repositories by this criteria.',
          required: false,
          default_value: :created_desc
",
Types::TimeType,GitLab custom scalars/Types::TimeType,"Types::TimeType must be used as the type for all fields and arguments that deal with Ruby `Time` and `DateTime` objects.
The type is a custom scalar that:
Converts Ruby’s `Time` and `DateTime` objects into standardized ISO-8601 formatted strings, when used as the type for our GraphQL fields. 
Converts ISO-8601 formatted time strings into Ruby `Time` objects, when used as the type for our GraphQL arguments.
This allows our GraphQL API to have a standardized way that it presents time and handles time inputs.
Example:","field :created_at, Types::TimeType, null: true, description: 'Timestamp of when the issue was created.'
",
Testing,Testing,"For testing mutations and resolvers, consider the unit of test a full GraphQL request, not a call to a resolver. This allows us to avoid tight coupling to the framework because such coupling makes upgrades to dependencies much more difficult.
You should:
Prefer request specs (either using the full API endpoint or going through `GitlabSchema.execute` ) to unit specs for resolvers and mutations. 
Prefer `GraphqlHelpers#execute_query` and `GraphqlHelpers#run_with_clean_state` to `GraphqlHelpers#resolve` and `GraphqlHelpers#resolve_field` .
For example:","# Good:
gql_query = %q(some query text...)
post_graphql(gql_query, current_user: current_user)
# or:
GitlabSchema.execute(gql_query, context: { current_user: current_user })

# Deprecated: avoid
resolve(described_class, obj: project, ctx: { current_user: current_user })
",
Writing unit tests (deprecated),Testing/Writing unit tests (deprecated),"caution 
Avoid writing unit tests if the same thing can be tested with a full GraphQL request.
Before creating unit tests, review the following examples:
spec/graphql/resolvers/users_resolver_spec.rb 
spec/graphql/mutations/issues/create_spec.rb",,
Writing integration tests,Testing/Writing integration tests,"Integration tests check the full stack for a GraphQL query or mutation and are stored in `spec/requests/api/graphql` .
For speed, consider calling `GitlabSchema.execute` directly, or making use of smaller test schemas that only contain the types under test.
However, full request integration tests that check if data is returned verify the following additional items:
The mutation is actually queryable in the schema (was mounted in `MutationType` ). 
The data returned by a resolver or mutation correctly matches the return types of the fields and resolves without errors. 
The arguments coerce correctly on input, and the fields serialize correctly on output.
Integration tests can also verify the following items, because they invoke the full stack:
An argument or scalar’s validations apply correctly. 
Logic in a resolver or mutation’s #ready?
 
 method applies correctly. 
An argument’s
 
 default_value applies correctly. 
Objects resolve successfully, and there are no N+1 issues.
When adding a query, you can use the `aworkinggraphqlquerythatreturnsdata` and `aworkinggraphqlquerythatreturnsnodata` shared examples to test if the query renders valid results.
You can construct a query including all available fields using the `GraphqlHelpers#all_graphql_fields_for` helper. This makes it more straightforward to add a test rendering all possible fields for a query.
If you’re adding a field to a query that supports pagination and sorting, visit Testing for details.
To test GraphQL mutation requests, `GraphqlHelpers` provides two helpers: `graphql_mutation` which takes the name of the mutation, and a hash with the input for the mutation. This returns a struct with a mutation query, and prepared variables.
You can then pass this struct to the `post_graphql_mutation` helper, that posts the request with the correct parameters, like a GraphQL client would do.
To access the response of a mutation, you can use the `graphql_mutation_response` helper.
Using these helpers, you can build specs like this:","let(:mutation) do
  graphql_mutation(
    :merge_request_set_wip,
    project_path: 'gitlab-org/gitlab-foss',
    iid: '1',
    wip: true
  )
end

it 'returns a successful response' do
   post_graphql_mutation(mutation, current_user: user)

   expect(response).to have_gitlab_http_status(:success)
   expect(graphql_mutation_response(:merge_request_set_wip)['errors']).to be_empty
end
",
Testing tips and tricks,Testing/Testing tips and tricks,"Become familiar with the methods in the `GraphqlHelpers` support module. Many of these methods make writing GraphQL tests easier. 
Use traversal helpers like `GraphqlHelpers#graphql_data_at` and `GraphqlHelpers#graphql_dig_at` to access result fields. For example:","result = GitlabSchema.execute(query)

mr_iid = graphql_dig_at(result.to_h, :data, :project, :merge_request, :iid)
",
Testing tips and tricks,Testing/Testing tips and tricks,Use `GraphqlHelpers#a_graphql_entity_for` to match against results. For example:,"post_graphql(some_query)

# checks that it is a hash containing { id => global_id_of(issue) }
expect(graphql_data_at(:project, :issues, :nodes))
  .to contain_exactly(a_graphql_entity_for(issue))

# Additional fields can be passed, either as names of methods, or with values
expect(graphql_data_at(:project, :issues, :nodes))
  .to contain_exactly(a_graphql_entity_for(issue, :iid, :title, created_at: some_time))
",
Testing tips and tricks,Testing/Testing tips and tricks,"Use `GraphqlHelpers#empty_schema` to create an empty schema, rather than creating one by hand. For example:","# good
let(:schema) { empty_schema }

# bad
let(:query_type) { GraphQL::ObjectType.new }
let(:schema) { GraphQL::Schema.define(query: query_type, mutation: nil)}
",
