title,belongs to,description,example,appendix
nil Checks,Cocoa and Objective-C Features/nil Checks,"Avoid `nil` pointer checks that exist only to prevent sending messages to `nil` . Sending a message to `nil` 
reliably
returns 
`nil` as a pointer, zero as an integer or floating-point value, structs initialized to `0` , and `_Complex` values equal to `{0,0}` .","// AVOID:

if (dataSource) {  // AVOID.
  [dataSource moveItemAtIndex:1 toIndex:0];
}

// GOOD:

[dataSource moveItemAtIndex:1 toIndex:0];  // GOOD.
","Note that this applies to `nil` as a message target, not as a parameter value. Individual methods may or may not safely handle `nil` parameter values.
Note too that this is distinct from checking C/C++ pointers and block pointers against `NULL` , which the runtime does not handle and will cause your application to crash. You still need to make sure you do not dereference a `NULL` pointer."
Nullability,Cocoa and Objective-C Features/Nullability,"Interfaces can be decorated with nullability annotations to describe how the interface should be used and how it behaves. Use of nullability regions (e.g., `NS_ASSUME_NONNULL_BEGIN` and `NS_ASSUME_NONNULL_END` ) and explicit nullability annotations are both accepted. Prefer using the `_Nullable` and `_Nonnull` keywords over the `__nullable` and `__nonnull` keywords. For Objective-C methods and properties prefer using the context-sensitive, non-underscored keywords, e.g., `nonnull` and `nullable` .","// GOOD:

/** A class representing an owned book. */
@interface GTMBook : NSObject

/** The title of the book. */
@property(readonly, copy, nonnull) NSString *title;

/** The author of the book, if one exists. */
@property(readonly, copy, nullable) NSString *author;

/** The owner of the book. Setting nil resets to the default owner. */
@property(copy, null_resettable) NSString *owner;

/** Initializes a book with a title and an optional author. */
- (nonnull instancetype)initWithTitle:(nonnull NSString *)title
                               author:(nullable NSString *)author
    NS_DESIGNATED_INITIALIZER;

/** Returns nil because a book is expected to have a title. */
- (nullable instancetype)init;

@end

/** Loads books from the file specified by the given path. */
NSArray<GTMBook *> *_Nullable GTMLoadBooksFromFile(NSString *_Nonnull path);

// AVOID:

NSArray<GTMBook *> *__nullable GTMLoadBooksFromTitle(NSString *__nonnull path);
",Be careful assuming that a pointer is not null based on a non-null qualifier because the compiler may not guarantee that the pointer is not null.
BOOL Pitfalls,Cocoa and Objective-C Features/BOOL Pitfalls,"Be careful when converting general integral values to `BOOL` . Avoid comparing directly with `YES` .
`BOOL` in OS X and in 32-bit iOS builds is defined as a signed `char` , so it may have values other than `YES` ( `1` ) and `NO` ( `0` ). Do not cast or convert general integral values directly to `BOOL` .
Common mistakes include casting or converting an array’s size, a pointer value, or the result of a bitwise logic operation to a `BOOL` that could, depending on the value of the last byte of the integer value, still result in a `NO` value. When converting a general integral value to a `BOOL` , use ternary operators to return a `YES` or `NO` value.
You can safely interchange and convert `BOOL` , `_Bool` and `bool` (see C++ Std 4.7.4, 4.12 and C99 Std 6.3.1.2). Use `BOOL` in Objective-C method signatures.
Using logical operators ( `&&` , `||` and `!` ) with `BOOL` is also valid and will return values that can be safely converted to `BOOL` without the need for a ternary operator.","// AVOID:

- (BOOL)isBold {
  return [self fontTraits] & NSFontBoldTrait;  // AVOID.
}
- (BOOL)isValid {
  return [self stringValue];  // AVOID.
}

// GOOD:

- (BOOL)isBold {
  return ([self fontTraits] & NSFontBoldTrait) ? YES : NO;
}
- (BOOL)isValid {
  return [self stringValue] != nil;
}
- (BOOL)isEnabled {
  return [self isValid] && [self isBold];
}
",
BOOL Pitfalls,Cocoa and Objective-C Features/BOOL Pitfalls,"Also, don’t directly compare `BOOL` variables directly with `YES` . Not only is it harder to read for those well-versed in C, but the first point above demonstrates that return values may not always be what you expect.","// AVOID:

BOOL great = [foo isGreat];
if (great == YES) {  // AVOID.
  // ...be great!
}

// GOOD:

BOOL great = [foo isGreat];
if (great) {         // GOOD.
  // ...be great!
}
",
Interfaces Without Instance Variables,Cocoa and Objective-C Features/Interfaces Without Instance Variables,Omit the empty set of braces on interfaces that do not declare any instance variables.,"// GOOD:

@interface MyClass : NSObject
// Does a lot of stuff.
- (void)fooBarBam;
@end

// AVOID:

@interface MyClass : NSObject {
}
// Does a lot of stuff.
- (void)fooBarBam;
@end
",
Delegate Pattern,Cocoa Patterns/Delegate Pattern,"Delegates, target objects, and block pointers should not be retained when doing so would create a retain cycle.
To avoid causing a retain cycle, a delegate or target pointer should be released as soon as it is clear there will no longer be a need to message the object.
If there is no clear time at which the delegate or target pointer is no longer needed, the pointer should only be retained weakly.
Block pointers cannot be retained weakly. To avoid causing retain cycles in the client code, block pointers should be used for callbacks only where they can be explicitly released after they have been called or once they are no longer needed. Otherwise, callbacks should be done via weak delegate or target pointers.",,
Style Matches the Language,Objective-C++/Style Matches the Language,"Within an Objective-C++ source file, follow the style for the language of the function or method you’re implementing. In order to minimize clashes between the differing naming styles when mixing Cocoa/Objective-C and C++, follow the style of the method being implemented.
For code in an `@implementation` block, use the Objective-C naming rules. For code in a method of a C++ class, use the C++ naming rules.
For code in an Objective-C++ file outside of a class implementation, be consistent within the file.","// GOOD:

// file: cross_platform_header.h

class CrossPlatformAPI {
 public:
  ...
  int DoSomethingPlatformSpecific();  // impl on each platform
 private:
  int an_instance_var_;
};

// file: mac_implementation.mm
#include ""cross_platform_header.h""

/** A typical Objective-C class, using Objective-C naming. */
@interface MyDelegate : NSObject {
 @private
  int _instanceVar;
  CrossPlatformAPI* _backEndObject;
}

- (void)respondToSomething:(id)something;

@end

@implementation MyDelegate

- (void)respondToSomething:(id)something {
  // bridge from Cocoa through our C++ backend
  _instanceVar = _backEndObject->DoSomethingPlatformSpecific();
  NSString* tempString = [NSString stringWithFormat:@""%d"", _instanceVar];
  NSLog(@""%@"", tempString);
}

@end

/** The platform-specific implementation of the C++ class, using C++ naming. */
int CrossPlatformAPI::DoSomethingPlatformSpecific() {
  NSString* temp_string = [NSString stringWithFormat:@""%d"", an_instance_var_];
  NSLog(@""%@"", temp_string);
  return [temp_string intValue];
}
",Projects may opt to use an 80 column line length limit for consistency with Google’s C++ style guide.
Spaces vs. Tabs,Spacing and Formatting/Spaces vs. Tabs,"Use only spaces, and indent 2 spaces at a time. We use spaces for indentation. Do not use tabs in your code.
You should set your editor to emit spaces when you hit the tab key, and to trim trailing spaces on lines.",,
Line Length,Spacing and Formatting/Line Length,"The maximum line length for Objective-C files is 100 columns.
You can make violations easier to spot by enabling Preferences > Text Editing > Page guide at column: 100 in Xcode.",,
Method Declarations and Definitions,Spacing and Formatting/Method Declarations and Definitions,"One space should be used between the `-` or `+` and the return type, and no spacing in the parameter list except between parameters.
Methods should look like this:","// GOOD:

- (void)doSomethingWithString:(NSString *)theString {
  ...
}
",
Method Declarations and Definitions,Spacing and Formatting/Method Declarations and Definitions,"The spacing before the asterisk is optional. When adding new code, be consistent with the surrounding file’s style.
If a method declaration does not fit on a single line, put each parameter on its own line. All lines except the first should be indented at least four spaces. Colons before parameters should be aligned on all lines. If the colon before the parameter on the first line of a method declaration is positioned such that colon alignment would cause indentation on a subsequent line to be less than four spaces, then colon alignment is only required for all lines except the first.","// GOOD:

- (void)doSomethingWithFoo:(GTMFoo *)theFoo
                      rect:(NSRect)theRect
                  interval:(float)theInterval {
  ...
}

- (void)shortKeyword:(GTMFoo *)theFoo
            longerKeyword:(NSRect)theRect
    someEvenLongerKeyword:(float)theInterval
                    error:(NSError **)theError {
  ...
}

- (id<UIAdaptivePresentationControllerDelegate>)
    adaptivePresentationControllerDelegateForViewController:(UIViewController *)viewController;

- (void)presentWithAdaptivePresentationControllerDelegate:
    (id<UIAdaptivePresentationControllerDelegate>)delegate;
",
Function Declarations and Definitions,Spacing and Formatting/Function Declarations and Definitions,"Prefer putting the return type on the same line as the function name and append all parameters on the same line if they will fit. Wrap parameter lists which do not fit on a single line as you would wrap arguments in a function
call .","// GOOD:

NSString *GTMVersionString(int majorVersion, minorVersion) {
  ...
}

void GTMSerializeDictionaryToFileOnDispatchQueue(
    NSDictionary<NSString *, NSString *> *dictionary,
    NSString *filename,
    dispatch_queue_t queue) {
  ...
}
","Function declarations and definitions should also satisfy the following conditions:
The opening parenthesis must always be on the same line as the function name. 
If you cannot fit the return type and the function name on a single line, break between them and do not indent the function name. 
There should never be a space before the opening parenthesis. 
There should never be a space between function parentheses and parameters. 
The open curly brace is always on the end of the last line of the function declaration, not the start of the next line. 
The close curly brace is either on the last line by itself or on the same line as the open curly brace. 
There should be a space between the close parenthesis and the open curly brace. 
All parameters should be aligned if possible. 
Function scopes should be indented 2 spaces. 
Wrapped parameters should have a 4 space indent."
Conditionals,Spacing and Formatting/Conditionals,"Include a space after `if` , `while` , `for` , and `switch` , and around comparison operators.","// GOOD:

for (int i = 0; i < 5; ++i) {
}

while (test) {};
",
Conditionals,Spacing and Formatting/Conditionals,Braces may be omitted when a loop body or conditional statement fits on a single line.,"// GOOD:

if (hasSillyName) LaughOutLoud();

for (int i = 0; i < 10; i++) {
  BlowTheHorn();
}

// AVOID:

if (hasSillyName)
  LaughOutLoud();               // AVOID.

for (int i = 0; i < 10; i++)
  BlowTheHorn();                // AVOID.
",
Conditionals,Spacing and Formatting/Conditionals,"If an `if` clause has an `else` clause, both clauses should use braces.","// GOOD:

if (hasBaz) {
  foo();
} else {  // The else goes on the same line as the closing brace.
  bar();
}

// AVOID:

if (hasBaz) foo();
else bar();        // AVOID.

if (hasBaz) {
  foo();
} else bar();      // AVOID.
",
Conditionals,Spacing and Formatting/Conditionals,Intentional fall-through to the next case should be documented with a comment unless the case has no intervening code before the next case.,"// GOOD:

switch (i) {
  case 1:
    ...
    break;
  case 2:
    j++;
    // Falls through.
  case 3: {
    int k;
    ...
    break;
  }
  case 4:
  case 5:
  case 6: break;
}
",
Expressions,Spacing and Formatting/Expressions,Use a space around binary operators and assignments. Omit a space for a unary operator. Do not add spaces inside parentheses.,"// GOOD:

x = 0;
v = w * x + y / z;
v = -y * (x + z);
",
Expressions,Spacing and Formatting/Expressions,Factors in an expression may omit spaces.,"// GOOD:

v = w*x + y/z;
",
Method Invocations,Spacing and Formatting/Method Invocations,"Method invocations should be formatted much like method declarations.
When there’s a choice of formatting styles, follow the convention already used in a given source file. Invocations should have all arguments on one line:","// GOOD:

[myObject doFooWith:arg1 name:arg2 error:arg3];
",
Method Invocations,Spacing and Formatting/Method Invocations,"or have one argument per line, with colons aligned:","// GOOD:

[myObject doFooWith:arg1
               name:arg2
              error:arg3];
",
Method Invocations,Spacing and Formatting/Method Invocations,Don’t use any of these styles:,"// AVOID:

[myObject doFooWith:arg1 name:arg2  // some lines with >1 arg
              error:arg3];

[myObject doFooWith:arg1
               name:arg2 error:arg3];

[myObject doFooWith:arg1
          name:arg2  // aligning keywords instead of colons
          error:arg3];
",
Method Invocations,Spacing and Formatting/Method Invocations,"As with declarations and definitions, when the first keyword is shorter than the others, indent the later lines by at least four spaces, maintaining colon alignment:","// GOOD:

[myObj short:arg1
          longKeyword:arg2
    evenLongerKeyword:arg3
                error:arg4];
",Invocations containing multiple inlined blocks may have their parameter names left-aligned at a four space indent.
Function Calls,Spacing and Formatting/Function Calls,"Function calls should include as many parameters as fit on each line, except where shorter lines are needed for clarity or documentation of the parameters.
Continuation lines for function parameters may be indented to align with the opening parenthesis, or may have a four-space indent.","// GOOD:

CFArrayRef array = CFArrayCreate(kCFAllocatorDefault, objects, numberOfObjects,
                                 &kCFTypeArrayCallBacks);

NSString *string = NSLocalizedStringWithDefaultValue(@""FEET"", @""DistanceTable"",
    resourceBundle,  @""%@ feet"", @""Distance for multiple feet"");

UpdateTally(scores[x] * y + bases[x],  // Score heuristic.
            x, y, z);

TransformImage(image,
               x1, x2, x3,
               y1, y2, y3,
               z1, z2, z3);
",
Function Calls,Spacing and Formatting/Function Calls,Use local variables with descriptive names to shorten function calls and reduce nesting of calls.,"// GOOD:

double scoreHeuristic = scores[x] * y + bases[x];
UpdateTally(scoreHeuristic, x, y, z);
",
Exceptions,Spacing and Formatting/Exceptions,"Format exceptions with `@catch` and `@finally` labels on the same line as the preceding `}` . Add a space between the `@` label and the opening brace ( `{` ), as well as between the `@catch` and the caught object declaration. If you must use Objective-C exceptions, format them as follows. However, see Avoid Throwing
Exceptions for reasons why you should not be using exceptions.","// GOOD:

@try {
  foo();
} @catch (NSException *ex) {
  bar(ex);
} @finally {
  baz();
}
",
Function Length,Spacing and Formatting/Function Length,"Prefer small and focused functions.
Long functions and methods are occasionally appropriate, so no hard limit is placed on function length. If a function exceeds about 40 lines, think about whether it can be broken up without harming the structure of the program.
Even if your long function works perfectly now, someone modifying it in a few months may add new behavior. This could result in bugs that are hard to find. Keeping your functions short and simple makes it easier for other people to read and modify your code.
When updating legacy code, consider also breaking long functions into smaller and more manageable pieces.",,
Vertical Whitespace,Spacing and Formatting/Vertical Whitespace,"Use vertical whitespace sparingly.
To allow more code to be easily viewed on a screen, avoid putting blank lines just inside the braces of functions.
Limit blank lines to one or two between functions and between logical groups of code.",,
Indicating style exceptions,Objective-C Style Exceptions/Indicating style exceptions,"Lines of code that are not expected to adhere to these style recommendations require `//NOLINT` at the end of the line or `//NOLINTNEXTLINE` at the end of the previous line. Sometimes it is required that parts of Objective-C code must ignore these style recommendations (for example code may be machine generated or code constructs are such that its not possible to style correctly).
A `//NOLINT` comment on that line or `//NOLINTNEXTLINE` on the previous line can be used to indicate to the reader that code is intentionally ignoring style guidelines. In addition these annotations can also be picked up by automated tools such as linters and handle code correctly. Note that there is a single space between `//` and `NOLINT*` .
This site is open source. Improve this page .",,
